kind,key,v1,v2,v3,v4
slot_range,0,0.11127573251724243,0.5810292363166809,0.4697535037994385,0
slot_range,1,0.0005947349709458649,0.057539328932762146,0.05694459396181628,0
slot_range,2,-0.9999938011169434,0.9999945163726807,1.999988317489624,0
slot_range,3,-0.9998788237571716,0.9999759197235107,1.9998547434806824,0
slot_range,4,-0.04762708395719528,0.04624597728252411,0.09387306123971939,0
slot_range,5,0.974503219127655,1.0280874967575073,0.053584277629852295,0
slot_range,6,0.03935753554105759,0.15000000596046448,0.11064247041940689,0
slot_range,7,0.19107404351234436,0.49646759033203125,0.3053935468196869,0
slot_range,8,0.00024526522611267865,0.04998955875635147,0.04974429353023879,0
slot_range,9,-0.9998610615730286,0.9999992251396179,1.9998602867126465,0
slot_range,10,-0.9999753832817078,0.999997079372406,1.9999724626541138,0
slot_range,11,-0.9999823570251465,0.9841160178184509,1.9840983748435974,0
slot_range,12,-0.9992125630378723,0.9999175667762756,1.999130129814148,0
slot_range,13,-0.9999974370002747,0.9999985098838806,1.9999959468841553,0
slot_range,14,-0.9998757839202881,0.9999997019767761,1.9998754858970642,0
slot_range,15,0.6163333058357239,1.0,0.3836666941642761,0
slot_range,16,-0.996713399887085,1.0,1.996713399887085,0
slot_range,17,0.8198593854904175,0.9525226354598999,0.13266324996948242,0
slot_range,18,-0.9993098378181458,0.9973671436309814,1.9966769814491272,0
slot_range,19,-0.04762708395719528,0.04624597728252411,0.09387306123971939,0
slot_range,20,0.8243632912635803,0.8243632912635803,0.0,0
slot_range,21,0.0,0.0,0.0,1
slot_range,22,0.0,0.0,0.0,1
slot_range,23,0.0,0.0,0.0,1
slot_range,24,0.0,0.0,0.0,1
slot_range,25,0.0,0.0,0.0,1
slot_range,26,0.0,0.0,0.0,1
slot_range,27,0.0,0.0,0.0,1
slot_range,28,0.0,0.0,0.0,1
slot_range,29,0.0,0.0,0.0,1
slot_range,30,0.0,0.0,0.0,1
slot_range,31,0.0,0.0,0.0,1
slot_range,32,0.0,0.0,0.0,1
slot_range,33,-2.2378087043762207,0.030051615089178085,2.267860319465399,0
slot_range,34,-1.0841017961502075,1.1663024425506592,2.2504042387008667,0
slot_range,35,-0.1470029652118683,0.12065190076828003,0.2676548659801483,0
slot_range,36,-0.1254638135433197,0.10909412801265717,0.23455794155597687,0
slot_range,37,1.0409094095230103,1.1572422981262207,0.11633288860321045,0
obs21_flip,0.1,0,836,0.06045854091644287,0.15856361389160156
obs21_flip,0.5,6,836,0.29980289936065674,0.7465860247612
obs21_flip,1.0,26,836,0.600640058517456,1.450983703136444
obs21_flip,2.0,44,836,1.248767614364624,2.8960477709770203
tgt_delta,7,0.0,0.0,0.0,0.0
tgt_delta,8,0.0,0.0,0.0,0.0
tgt_delta,11,0.0,0.0,0.0,0.0
tgt_delta,12,0.0,0.0,0.0,0.0
tgt_delta,13,0.009052046574652195,0.16193240880966187,0.25033570267260064,0.2808981239795685
tgt_delta,14,0.001758575439453125,0.19960033893585205,0.2724380565807223,0.3121191810350865
tgt_delta,16,0.0,0.22960051894187927,1.2277725204825338,1.9639980792999268
tgt_delta,33,0.005155708407983184,0.21043581422418356,0.36511369049549086,0.4485287070274353
tgt_delta,34,0.008710755500942469,0.172990083694458,0.3113720327615733,0.44467590749263763
tgt_delta,35,0.0032640486024320126,0.037254324182868004,0.09220076437341045,0.1437524890061468
tgt_delta,36,0.005015085567720234,0.05357523541897535,0.1148217650130391,0.15411865711212158
tgt_delta,37,0.0,0.0,0.0,0.0
episode_len_decisions,,20.9,40,836,
