config,n,metric,unit,median,p95,max,note
X3_leo_e0.05,256,epoch_match_frac,frac,1.0,1.0,1.0,traj row == obs epoch
X3_leo_e0.05,256,di_rel_err_deg,deg,1.2646183242627161e-08,5.285580838868084e-08,7.184731272079625e-08,"obs[21,22] -> |di_rel| vs truth inc (target gauge i_t=0)"
X3_leo_e0.05,256,u_arglat_err_deg,deg,4.649796497236493e-06,1.5594066708935298e-05,2.244590576199815e-05,"obs[21,22] -> argument of latitude u = omega_s + theta_s"
X3_leo_e0.05,256,rho_N_err_m,m,0.0009938869625329971,0.004712339490652084,0.008913546800613403,obs[24] -> cross-track separation
X3_leo_e0.05,256,t3decode_tgt_pos_err_m,m,9733443.954738013,13973329.328675482,14296953.11651486,2D decoder target position error under dim3 (Omega_s absorbed into M_t)
X3_leo_e0.05,256,t3decode_sat_theta_err_deg,deg,2.846944570703062e-06,1.0695349799108057e-05,1.2713661659761308e-05,"2D decoder chaser true anomaly (unaffected: obs[2,3] are node-referenced)"
X3_leo_e0.05,256,getter_tgt_pos_err_m,m,0.4455312026900942,1.3835025269173848,1.6730563449042983,decode WITH chaser Omega_s from a C getter: residual = float32 obs quantisation
X3_leo_e0.05,256,getter_sat_pos_err_m,m,0.43156299818531196,1.4024657431530931,1.8025223480782937,"chaser rebuilt from obs + (i from obs[21,22], Omega from getter)"
X3_leo_e0.05,256,obsonly_raan0_lvlh_pos_err_m,m,264879.6193676891,938471.0590425447,1428315.4365029,"rebuilt obs[33,34] vs the C env's own obs[33,34]"
X3_leo_e0.05,256,obsonly_raan0_lvlh_vel_err_ms,m/s,270.12505380030615,954.7809021063827,1329.392841233687,"rebuilt obs[35,36] vs the C env's own obs[35,36]"
X3_leo_e0.05,256,getter_raan_lvlh_pos_err_m,m,0.1997976930152352,0.5577232100521171,0.8013971021943213,"rebuilt obs[33,34] vs the C env's own obs[33,34]"
X3_leo_e0.05,256,getter_raan_lvlh_vel_err_ms,m/s,3.907579692739194e-05,0.0001217832484389158,0.00022000237234286516,"rebuilt obs[35,36] vs the C env's own obs[35,36]"
X3_leo_e0.05,256,dLVLHpos_dOmega_m_per_rad,m/rad,230388.6075417471,594398.0657706129,727520.501548047,"sensitivity of obs[33,34] to the Omega_s<->M_t trade (the obs-only solve)"
X3_leo_e0.05,256,dLVLHvel_dOmega_ms_per_rad,m/s/rad,265.6025335829446,640.2538452872088,712.3335339324128,"sensitivity of obs[35,36] to the same trade"
X3_leo_e0.05,256,omega_resolution_rad,rad,3.4819115066555583e-06,3.0752652699702445e-05,0.00010179670810674114,obs float32 quantisation / sensitivity = best-case Omega_s solve accuracy
X3_leo_e0.05,256,realized_e_target,-,0.025551985017955303,0.0473287608474493,0.049766846001148224,realized target eccentricity
X3_leo_e0.05,256,realized_di_deg,deg,0.714697200969662,0.9687902432540534,0.9975452862989541,realized relative inclination
X3_leo_e0.05,256,target_inc_raan_max,rad,0.0,0.0,0.0,target plane gauge (must be exactly 0)
V5_wide_e0.30,256,epoch_match_frac,frac,1.0,1.0,1.0,traj row == obs epoch
V5_wide_e0.30,256,di_rel_err_deg,deg,1.0418464847695678e-08,3.610935818902865e-08,4.8543440452511306e-08,"obs[21,22] -> |di_rel| vs truth inc (target gauge i_t=0)"
V5_wide_e0.30,256,u_arglat_err_deg,deg,5.246451355039331e-06,1.5743292978535483e-05,2.575614646648753e-05,"obs[21,22] -> argument of latitude u = omega_s + theta_s"
V5_wide_e0.30,256,rho_N_err_m,m,0.0010297074913978577,0.005018122494220734,0.011252284049987793,obs[24] -> cross-track separation
V5_wide_e0.30,256,t3decode_tgt_pos_err_m,m,14817221.432478223,25326787.356612574,27524161.17258826,2D decoder target position error under dim3 (Omega_s absorbed into M_t)
V5_wide_e0.30,256,t3decode_sat_theta_err_deg,deg,3.4123469292614967e-06,1.1608690018433784e-05,1.4487830631733051e-05,"2D decoder chaser true anomaly (unaffected: obs[2,3] are node-referenced)"
V5_wide_e0.30,256,getter_tgt_pos_err_m,m,0.6066500644186038,2.5285725950419686,3.7996916589704215,decode WITH chaser Omega_s from a C getter: residual = float32 obs quantisation
V5_wide_e0.30,256,getter_sat_pos_err_m,m,0.5967686097527177,2.392747295087477,3.9419798995564816,"chaser rebuilt from obs + (i from obs[21,22], Omega from getter)"
V5_wide_e0.30,256,obsonly_raan0_lvlh_pos_err_m,m,1837453.124554717,9445750.683109071,15579326.41632914,"rebuilt obs[33,34] vs the C env's own obs[33,34]"
V5_wide_e0.30,256,obsonly_raan0_lvlh_vel_err_ms,m/s,1221.3692964282973,4890.513648790475,6046.916445140592,"rebuilt obs[35,36] vs the C env's own obs[35,36]"
V5_wide_e0.30,256,getter_raan_lvlh_pos_err_m,m,0.37217101289868026,1.2352548041032185,2.734239138270958,"rebuilt obs[33,34] vs the C env's own obs[33,34]"
V5_wide_e0.30,256,getter_raan_lvlh_vel_err_ms,m/s,0.00013234884976941132,0.00042818612261968914,0.0006696625292718162,"rebuilt obs[35,36] vs the C env's own obs[35,36]"
V5_wide_e0.30,256,dLVLHpos_dOmega_m_per_rad,m/rad,1930223.1513359689,6352886.331260028,10167535.749618962,"sensitivity of obs[33,34] to the Omega_s<->M_t trade (the obs-only solve)"
V5_wide_e0.30,256,dLVLHvel_dOmega_ms_per_rad,m/s/rad,1157.5954363490923,2869.822869270418,3347.3654273627576,"sensitivity of obs[35,36] to the same trade"
V5_wide_e0.30,256,omega_resolution_rad,rad,5.589922779184597e-07,8.672223216356446e-06,5.016627476311203e-05,obs float32 quantisation / sensitivity = best-case Omega_s solve accuracy
V5_wide_e0.30,256,realized_e_target,-,0.12881696224212646,0.2775179445743561,0.2986499071121216,realized target eccentricity
V5_wide_e0.30,256,realized_di_deg,deg,0.5345290836608905,0.7319574091674016,0.7499549843108116,realized relative inclination
V5_wide_e0.30,256,target_inc_raan_max,rad,0.0,0.0,0.0,target plane gauge (must be exactly 0)
X3_e0_control,256,epoch_match_frac,frac,1.0,1.0,1.0,traj row == obs epoch
X3_e0_control,256,di_rel_err_deg,deg,1.4709462289087294e-08,5.1320537399368486e-08,8.256065076870376e-08,"obs[21,22] -> |di_rel| vs truth inc (target gauge i_t=0)"
X3_e0_control,256,u_arglat_err_deg,deg,2.568185657145972e-06,1.1021485224700509e-05,1.3621077777937342e-05,"obs[21,22] -> argument of latitude u = omega_s + theta_s"
X3_e0_control,256,rho_N_err_m,m,0.0010646581649780273,0.004565402865409851,0.00776323676109314,obs[24] -> cross-track separation
X3_e0_control,256,t3decode_tgt_pos_err_m,m,9949120.191182967,14025745.985476643,14328999.803319577,2D decoder target position error under dim3 (Omega_s absorbed into M_t)
X3_e0_control,256,t3decode_sat_theta_err_deg,deg,2.848409661411531e-06,1.1114862518927099e-05,1.3611010737148449e-05,"2D decoder chaser true anomaly (unaffected: obs[2,3] are node-referenced)"
X3_e0_control,256,getter_tgt_pos_err_m,m,0.4301028103736103,1.5024683103253347,1.8212944382394305,decode WITH chaser Omega_s from a C getter: residual = float32 obs quantisation
X3_e0_control,256,getter_sat_pos_err_m,m,0.38982814342319183,1.4772005693698014,1.6532400194801034,"chaser rebuilt from obs + (i from obs[21,22], Omega from getter)"
X3_e0_control,256,obsonly_raan0_lvlh_pos_err_m,m,0.19243171446668067,0.5417051470081604,0.7316920470388125,"rebuilt obs[33,34] vs the C env's own obs[33,34]"
X3_e0_control,256,obsonly_raan0_lvlh_vel_err_ms,m/s,2.535743813359684e-05,6.11795797221228e-05,7.690733179020404e-05,"rebuilt obs[35,36] vs the C env's own obs[35,36]"
X3_e0_control,256,getter_raan_lvlh_pos_err_m,m,0.19243170711118213,0.5417051491137816,0.731692047078993,"rebuilt obs[33,34] vs the C env's own obs[33,34]"
X3_e0_control,256,getter_raan_lvlh_vel_err_ms,m/s,2.5357436257929986e-05,6.117957783786193e-05,7.690733115215922e-05,"rebuilt obs[35,36] vs the C env's own obs[35,36]"
X3_e0_control,256,dLVLHpos_dOmega_m_per_rad,m/rad,9.724363463858786e-06,3.163245018067675e-05,6.1764333442941e-05,"sensitivity of obs[33,34] to the Omega_s<->M_t trade (the obs-only solve)"
X3_e0_control,256,dLVLHvel_dOmega_ms_per_rad,m/s/rad,9.103669696008072e-09,2.0279464122258825e-08,2.8173532485864747e-08,"sensitivity of obs[35,36] to the same trade"
X3_e0_control,256,omega_resolution_rad,rad,67389.3194086631,1.2196077704429625e+30,1.661461353302002e+30,obs float32 quantisation / sensitivity = best-case Omega_s solve accuracy
X3_e0_control,256,realized_e_target,-,0.0,0.0,0.0,realized target eccentricity
